C++,HTML/CSS,,,,,,,,
C,C++,,,COUNT,LANGUAGE,,,Count,Language
Java,C,,,1695,HTML/CSS,1695,,2225,JavaScript
Bash/Shell/PowerShell,Java,,,865,C++,865,,1962,SQL
C#,Bash/Shell/PowerShell,,,701,C,701,,1774,Python
Other(s):,C#,,,1558,Java,1558,,1695,HTML/CSS
Assembly,Other(s):,,,1278,Bash/Shell/PowerShell,1278,,1558,Java
Python,Assembly,,,874,C#,874,,1278,Bash/Shell/PowerShell
JavaScript,Python,,,504,Other(s):,504,,1053,PHP
Clojure,JavaScript,,,541,Assembly,541,,945,TypeScript
SQL,Clojure,,,1774,Python,1774,,874,C#
PHP,SQL,,,2225,JavaScript,2225,,865,C++
Scala,PHP,,,79,Clojure,79,,701,C
Elixir,Scala,,,1962,SQL,1962,,555,Ruby
Go,Elixir,,,1053,PHP,1053,,541,Assembly
Dart,Go,,,255,Scala,255,,504,Other(s):
R,Dart,,,95,Elixir,95,,482,Swift
VBA,R,,,436,Go,436,,447,Kotlin
Ruby,VBA,,,138,Dart,138,,436,Go
Objective-C,Ruby,,,360,R,360,,369,VBA
Swift,Objective-C,,,369,VBA,369,,360,R
Kotlin,Swift,,,555,Ruby,555,,357,Objective-C
Erlang,Kotlin,,,357,Objective-C,357,,255,Scala
F#,Erlang,,,482,Swift,482,,138,Dart
TypeScript,F#,,,447,Kotlin,447,,95,Elixir
,TypeScript,,,69,Erlang,69,,79,Clojure
,,,,76,F#,76,,76,F#
,,,,945,TypeScript,945,,69,Erlang
